molecule_id,smiles,annulation,n_branches,longest_A,longest_L,longest_L_degeneracy,second_longest_L,ratio_L,n_LAL,n_rings,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV,rel_Etot_eV,rel_Etot_pos_eV,rel_Etot_neg_eV,atom_Etot_eV,atom_Etot_pos_eV,atom_Etot_neg_eV
hc_c42h24_0pent_2188,c1ccc2cc3c(ccc4cc5c(cc43)c3ccccc3c3c4ccc6ccccc6c4c4ccccc4c53)cc2c1,lala()a()a,2,3,1,2,0,0.3333333333333333,1,10,-5.355,-1.934,3.421,0.203,-43887.629,-43881.304,-43888.628,-0.998,6.325,1.1270000000004075,1.1260000000038417,1.194999999999709,-3567.629000000001,-3561.3039999999964,-3568.627999999997
hc_c42h24_0pent_5824,c1ccc2cc3c(ccc4cc5cc6c(ccc7c8cc9ccccc9cc8c8ccccc8c67)cc5cc43)cc2c1,lallaa()l,1,2,2,1,1,0.5714285714285714,1,10,-5.066,-2.26,2.806,0.124,-43888.023,-43881.961,-43889.316,-1.293,6.062,0.7330000000001746,0.46899999999732245,0.5069999999977881,-3568.023000000001,-3561.961000000003,-3569.315999999999
hc_c42h24_0pent_5790,c1ccc2c(c1)ccc1cc3cc4ccc5c(ccc6c5ccc5ccc7ccc8ccccc8c7c56)c4cc3cc12,allaaaaa,0,5,2,1,0,0.25,0,10,-5.115,-2.193,2.922,0.299,-43887.985,-43881.815,-43889.157,-1.172,6.17,0.7710000000006403,0.6149999999979627,0.6659999999974389,-3567.9850000000006,-3561.8150000000023,-3569.1569999999992
hc_c42h24_0pent_1266,c1ccc2c(c1)ccc1ccc3cc4c(cc3c12)c1ccccc1c1ccc2c(ccc3ccc5ccccc5c32)c14,aaaa()laa,1,4,1,1,0,0.1428571428571428,0,10,-5.328,-1.938,3.39,0.048,-43887.72,-43881.386,-43888.679,-0.96,6.334,1.0360000000000582,1.044000000001688,1.1440000000002328,-3567.720000000001,-3561.3859999999986,-3568.6789999999964
hc_c38h22_0pent_768,c1ccc2cc3c(ccc4c5ccccc5c5ccc6c(ccc7ccc8ccccc8c76)c5c34)cc2c1,aaaa()al,1,5,1,1,0,0.1666666666666666,0,9,-5.253,-1.955,3.298,0.047,-39712.349,-39705.996,-39713.221,-0.872,6.353,1.1169999999983702,1.1059999999997672,1.272000000004482,-3172.349000000002,-3165.995999999999,-3173.2209999999977
hc_c42h24_0pent_5527,c1ccc2c(c1)ccc1c3cc4cc5ccc6c7c8ccccc8ccc7c7ccccc7c6c5cc4cc3ccc21,aallaa()a,1,3,2,1,0,0.2857142857142857,0,10,-5.006,-2.303,2.703,0.129,-43887.817,-43881.793,-43889.136,-1.32,6.023,0.9389999999984866,0.6370000000024447,0.6869999999980791,-3567.8170000000027,-3561.792999999998,-3569.1359999999986
hc_c42h24_0pent_1500,c1ccc2cc3c(ccc4ccc5c(ccc6c7ccc8ccccc8c7c7ccc8ccccc8c7c56)c43)cc2c1,aa(a)aaal,1,6,1,1,0,0.1428571428571428,0,10,-5.284,-1.997,3.286,0.11,-43887.259,-43880.933,-43888.269,-1.01,6.326,1.4970000000030268,1.4970000000030268,1.5539999999964493,-3567.258999999998,-3560.9329999999973,-3568.2690000000002
hc_c42h24_0pent_3769,c1ccc2cc3c(ccc4c5cc6c(ccc7ccc8ccc9ccccc9c8c76)cc5c5ccccc5c34)cc2c1,laa()laaa,1,3,1,2,0,0.2857142857142857,0,10,-5.148,-2.041,3.108,0.388,-43887.694,-43881.49,-43888.737,-1.043,6.204,1.0619999999980791,0.9400000000023283,1.0859999999956926,-3567.694000000003,-3561.489999999998,-3568.737000000001
hc_c42h24_0pent_5660,c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1c2ccc3cc5ccccc5cc3c2c2ccccc2c41,lla()a()al,2,3,2,1,1,0.5,0,10,-5.049,-2.248,2.801,0.129,-43887.318,-43881.275,-43888.601,-1.283,6.043,1.4380000000019209,1.1549999999988358,1.2219999999942956,-3567.3179999999993,-3561.2750000000015,-3568.6010000000024
hc_c42h24_0pent_1343,c1ccc2c(c1)ccc1c3cc4ccc5ccc6c7c8ccccc8ccc7c7ccccc7c6c5c4cc3ccc21,aa()aalaa,1,4,1,1,0,0.1428571428571428,0,10,-5.272,-1.949,3.323,0.301,-43887.729,-43881.444,-43888.693,-0.963,6.285,1.0270000000018626,0.9859999999971478,1.1299999999973807,-3567.7289999999994,-3561.444000000003,-3568.6929999999993
hc_c42h24_0pent_1657,c1ccc2cc3c(ccc4ccc5c6c7ccccc7ccc6c6ccc7ccc8ccccc8c7c6c5c43)cc2c1,aaa(a)aal,1,6,1,1,0,0.1428571428571428,0,10,-5.209,-1.939,3.27,0.334,-43887.085,-43880.77,-43887.958,-0.873,6.315,1.6710000000020955,1.6600000000034925,1.8649999999979627,-3567.084999999999,-3560.769999999997,-3567.9579999999987
hc_c42h24_0pent_5061,c1ccc2c(c1)ccc1cc3cc4c(ccc5cc6ccc7c(ccc8c9ccccc9ccc87)c6cc54)cc3cc12,allalaaa,0,3,2,1,1,0.375,1,10,-5.228,-2.133,3.095,0.156,-43888.56,-43882.298,-43889.673,-1.112,6.263,0.19600000000355067,0.1319999999977881,0.14999999999417923,-3568.5599999999977,-3562.2980000000025,-3569.6730000000025
hc_c42h24_0pent_3214,c1ccc2cc3c(ccc4c3ccc3c4ccc4c3ccc3c5c6ccccc6ccc5c5ccccc5c43)cc2c1,aa()aaaal,1,6,1,1,0,0.1428571428571428,0,10,-5.346,-1.938,3.407,0.329,-43887.959,-43881.615,-43888.946,-0.987,6.344,0.7969999999986612,0.8150000000023283,0.8769999999931315,-3567.9590000000026,-3561.614999999998,-3568.9460000000036
hc_c42h24_0pent_5088,c1ccc2cc3cc4c(cc3cc2c1)c1cc2cc3ccccc3cc2cc1c1c2ccccc2c2ccccc2c41,lla(a())ll,2,2,2,2,0,0.6666666666666666,0,10,-5.056,-2.18,2.876,0.042,-43887.636,-43881.627,-43888.821,-1.185,6.009,1.1200000000026193,0.8029999999998836,1.0019999999931315,-3567.6359999999986,-3561.6270000000004,-3568.8210000000036
hc_c42h24_0pent_6434,c1ccc2cc3cc4cc5c(ccc6c7ccc8ccccc8c7c7c8ccccc8ccc7c56)cc4cc3cc2c1,aa(a)alll,1,4,3,1,0,0.4285714285714285,0,10,-4.787,-2.58,2.207,0.099,-43887.12,-43881.29,-43888.682,-1.562,5.829,1.635999999998603,1.139999999999418,1.1409999999959837,-3567.1200000000026,-3561.290000000001,-3568.6820000000007
hc_c42h24_0pent_5724,c1ccc2cc3cc4c(ccc5c4ccc4c6ccc7cc8c(ccc9ccccc98)cc7c6ccc54)cc3cc2c1,llaaaala,0,4,2,1,1,0.375,0,10,-5.059,-2.293,2.766,0.128,-43888.38,-43882.294,-43889.665,-1.285,6.086,0.3760000000038417,0.13599999999860302,0.15799999999580905,-3568.3799999999974,-3562.2940000000017,-3569.665000000001
